iter	Logloss
0	0.6781953242
1	0.662486034
2	0.6479963483
3	0.6340252232
4	0.6205664698
5	0.609062965
6	0.5982824726
7	0.5883542293
8	0.5784463647
9	0.5685536588
10	0.5594399324
11	0.5515280585
12	0.54400059
13	0.5363955685
14	0.5291187088
15	0.5228124402
16	0.5168693947
17	0.5105480662
18	0.5054700899
19	0.4994579315
20	0.4950408916
21	0.4907157902
22	0.4860883078
23	0.4818807825
24	0.4780254694
25	0.4743377067
26	0.470767468
27	0.4672716218
28	0.4636076924
29	0.460240156
30	0.4572652632
31	0.4546349072
32	0.4513137055
33	0.448385745
34	0.4458253871
35	0.4434607355
36	0.440941995
37	0.4387520402
38	0.4367056065
39	0.4348808061
40	0.4328446071
41	0.4311505793
42	0.429481957
43	0.4275607748
44	0.4258889534
45	0.4243516006
46	0.4227675365
47	0.4212802179
48	0.4199489422
49	0.4186590256
50	0.4171970502
51	0.4157878534
52	0.4143505402
53	0.4129499574
54	0.4117948496
55	0.410521951
56	0.4094809654
57	0.4083767694
58	0.4073441987
59	0.4062949994
60	0.4052542914
61	0.4043325544
62	0.4034902204
63	0.4024918291
64	0.4016775038
65	0.4007395209
66	0.3999747024
67	0.3992359265
68	0.3984873531
69	0.3976146964
70	0.3970073495
71	0.3962092555
72	0.3954201773
73	0.394833286
74	0.3941774208
75	0.3934144532
76	0.3927978322
77	0.3923333126
78	0.3916235494
79	0.3908797252
80	0.3901470805
81	0.3895245012
82	0.3890312189
83	0.3888061596
84	0.3882173026
85	0.3875930796
86	0.3870113259
87	0.3865900985
88	0.385984931
89	0.3855088817
90	0.3850567288
91	0.3845327079
92	0.383889478
93	0.383382154
94	0.3828487499
95	0.3825476501
96	0.3821104822
97	0.3816869036
98	0.3812078443
99	0.3807325841
100	0.3802999849
101	0.3798374006
102	0.3794108639
103	0.3790441394
104	0.378583429
105	0.3770892394
106	0.3765860138
107	0.3761709861
108	0.375841456
109	0.3753918252
110	0.3749520148
111	0.3742417276
112	0.3739841192
113	0.3712558472
114	0.3709600878
115	0.37031382
116	0.3698816
117	0.3695466686
118	0.3682152408
119	0.3678464335
120	0.3674829149
121	0.3671210341
122	0.3667527563
123	0.3664310057
124	0.3661626425
125	0.3655302693
126	0.3652783855
127	0.3649434822
128	0.364733956
129	0.3623411967
130	0.3620578829
131	0.3618420186
132	0.3616447489
133	0.3612581036
134	0.3592194691
135	0.3588871195
136	0.3586265909
137	0.3583938043
138	0.3580676321
139	0.3577595735
140	0.3568876739
141	0.356655855
142	0.3562804922
143	0.3544694373
144	0.3542026631
145	0.353204371
146	0.3529093026
147	0.3527393341
148	0.3525389729
149	0.3486954742
150	0.3467637769
151	0.3439918566
152	0.3437287813
153	0.3436977513
154	0.3434110883
155	0.3432012876
156	0.3430149259
157	0.3428033382
158	0.3425681662
159	0.3423588432
160	0.3421794174
161	0.341941891
162	0.3417293243
163	0.3415040183
164	0.3405690231
165	0.3392681696
166	0.3390171068
167	0.3388007332
168	0.3386254041
169	0.3384515027
170	0.3382138435
171	0.3379891389
172	0.3378339601
173	0.33762103
174	0.3354923156
175	0.3346022444
176	0.3337485998
177	0.3303454012
178	0.3282623457
179	0.3280980893
180	0.3278815354
181	0.3267535969
182	0.3266781998
183	0.3264793953
184	0.3258973679
185	0.3242148347
186	0.324050475
187	0.3238691
188	0.3237016857
189	0.3234855737
190	0.3233414589
191	0.3218104228
192	0.3216726865
193	0.3215309432
194	0.3213936043
195	0.3201210107
196	0.3197195475
197	0.3196087847
198	0.3185232159
199	0.3183640785
200	0.3182263069
201	0.3180840018
202	0.3178934248
203	0.3172102281
204	0.3170519068
205	0.316910528
206	0.3167334099
207	0.316188437
208	0.315624295
209	0.3155083578
210	0.315380383
211	0.3152536874
212	0.3145767248
213	0.3144603193
214	0.3137677319
215	0.3137450798
216	0.3125703534
217	0.3119703447
218	0.3104751198
219	0.310384168
220	0.3086160113
221	0.3085178509
222	0.3084260838
223	0.3083101345
224	0.30821305
225	0.3081473055
226	0.3080267047
227	0.3078870566
228	0.3055409609
229	0.3053962347
230	0.3048498409
231	0.3041577426
232	0.3026615321
233	0.3025693568
234	0.3001634453
235	0.3000701953
236	0.2999416878
237	0.2998192204
238	0.2997001454
239	0.2991521632
240	0.2978850787
241	0.2977755988
242	0.2969774306
243	0.2968963498
244	0.2952099456
245	0.2936113898
246	0.2928100943
247	0.2914239225
248	0.2892510352
249	0.2891567906
250	0.2881575611
251	0.2880715236
252	0.2879375676
253	0.287751416
254	0.2876769818
255	0.2873387906
256	0.2872148854
257	0.2862325281
258	0.2861292459
259	0.2860409179
260	0.2858974184
261	0.2853953875
262	0.2852925486
263	0.2851606918
264	0.2850417974
265	0.284937135
266	0.2847835668
267	0.2846667468
268	0.2845897747
269	0.284445748
270	0.2843667994
271	0.2828943665
272	0.2827909067
273	0.2827029072
274	0.2826432348
275	0.2825345453
276	0.2817173038
277	0.2816480253
278	0.2802048216
279	0.2801024587
280	0.2800481437
281	0.2788014502
282	0.278739987
283	0.2783986294
284	0.27832323
285	0.2782174703
286	0.2768980114
287	0.2756845209
288	0.2746278579
289	0.274543225
290	0.2739490192
291	0.2738031579
292	0.2724274336
293	0.2723762561
294	0.2715397633
295	0.2714531251
296	0.2713799346
297	0.2712909192
298	0.2701536736
299	0.2700635968
300	0.2699507742
301	0.2688251602
302	0.2676554308
303	0.2675451619
304	0.2674833958
305	0.2653307642
306	0.2648322307
307	0.2644168432
308	0.264328552
309	0.2635897996
310	0.2635063346
311	0.2634058266
312	0.2624769935
313	0.261174917
314	0.2603266897
315	0.2592506053
316	0.2578011466
317	0.2574364158
318	0.2573084932
319	0.2569336302
320	0.2561037774
321	0.2560152039
322	0.2559474543
323	0.2558424023
324	0.2554329214
325	0.2553384332
326	0.2544287649
327	0.2544193588
328	0.2535772318
329	0.2534749868
330	0.2530838355
331	0.2529622014
332	0.2527780813
333	0.2527371265
334	0.2520972686
335	0.251809621
336	0.251739821
337	0.2516503722
338	0.251638336
339	0.251515482
340	0.2514109772
341	0.2512917538
342	0.2507593273
343	0.2502778754
344	0.2496899555
345	0.249610848
346	0.2490112051
347	0.2487350841
348	0.2486400714
349	0.248395562
350	0.2476864904
351	0.2470397823
352	0.2459911817
353	0.2455320993
354	0.2454557752
355	0.245202458
356	0.2450596078
357	0.2449426151
358	0.2442419881
359	0.2441594336
360	0.2440931807
361	0.2429394499
362	0.2428130975
363	0.2420856274
364	0.242019485
365	0.2416779886
366	0.2411266114
367	0.2410339337
368	0.2408221585
369	0.240262744
370	0.2397221552
371	0.2390902693
372	0.2386716146
373	0.2381790159
374	0.2376452306
375	0.2375858553
376	0.237315111
377	0.2372505675
378	0.2371607308
379	0.2371112653
380	0.2369478449
381	0.2362975808
382	0.2361589759
383	0.2361011667
384	0.2353649034
385	0.235316501
386	0.2352817418
387	0.2351945032
388	0.2351132833
389	0.2350562382
390	0.2349786955
391	0.234885963
392	0.2342535489
393	0.2341718323
394	0.2333204368
395	0.2332362147
396	0.2326680661
397	0.2323502126
398	0.232296541
399	0.2322159134
400	0.2319118013
401	0.2318301481
402	0.2317550325
403	0.2316864321
404	0.231681114
405	0.2316303307
406	0.2315648221
407	0.2315046668
408	0.2314490245
409	0.2310266164
410	0.230933556
411	0.2302621926
412	0.2301712759
413	0.2297064852
414	0.2296469696
415	0.2295992686
416	0.2288986557
417	0.2282752559
418	0.22806902
419	0.227962808
420	0.2278762207
421	0.2278025182
422	0.2273085827
423	0.2266028702
424	0.2262280184
425	0.2256536988
426	0.225254509
427	0.2251878794
428	0.2244937138
429	0.2244377977
430	0.2239830079
431	0.2238987214
432	0.2238288092
