iter	Passed	Remaining
0	138	13743
1	273	13397
2	407	13160
3	560	13444
4	678	12900
5	779	12218
6	877	11661
7	988	11372
8	1109	11216
9	1232	11096
10	1340	10844
11	1459	10700
12	1575	10541
13	1692	10398
14	1802	10216
15	1901	9981
16	2019	9861
17	2122	9670
18	2206	9406
19	2320	9281
20	2423	9116
21	2517	8924
22	2611	8743
23	2698	8545
24	2793	8379
25	2898	8250
26	2996	8101
27	3089	7945
28	3177	7779
29	3262	7612
30	3343	7441
31	3427	7283
32	3508	7122
33	3591	6970
34	3671	6818
35	3745	6657
36	3823	6510
37	3909	6379
38	3983	6230
39	4060	6090
40	4157	5983
41	4229	5840
42	4297	5697
43	4365	5556
44	4433	5418
45	4497	5280
46	4558	5140
47	4629	5014
48	4689	4880
49	4757	4757
50	4820	4631
51	4878	4503
52	4946	4386
53	5008	4266
54	5065	4144
55	5126	4028
56	5186	3912
57	5239	3794
58	5296	3680
59	5356	3570
60	5418	3464
61	5461	3347
62	5517	3240
63	5567	3131
64	5628	3030
65	5691	2932
66	5768	2841
67	5838	2747
68	5887	2645
69	5947	2549
70	6000	2450
71	6046	2351
72	6099	2255
73	6154	2162
74	6205	2068
75	6246	1972
76	6281	1876
77	6316	1781
78	6355	1689
79	6397	1599
80	6431	1508
81	6467	1419
82	6502	1331
83	6541	1246
84	6581	1161
85	6623	1078
86	6681	998
87	6733	918
88	6762	835
89	6791	754
90	6828	675
91	6858	596
92	6888	518
93	6917	441
94	6949	365
95	6978	290
96	7010	216
97	7040	143
98	7088	71
99	7125	0
9
99	8933	0
255
98	12634	127
99	12741	0
